"time","heatCapacitor.T","der(heatCapacitor.T)","convection.Gc","convection.dT","pipe.T","der(pipe.T)","pipe.dT","pipe.Q_flow","prescribedHeatFlow.Q_flow","pump.V_flow","openTank.T_port","heatCapacitor1.T","der(heatCapacitor1.T)","convection1.Gc","convection1.dT","pipe1.T","der(pipe1.T)","pipe1.dT","pipe1.Q_flow","prescribedHeatFlow1.Q_flow"
"0.0","293.15","429.0044264663141","3.0735021508688307","0.0","293.15","0.0","0.0","0.0","42.90044264663141","1.8684724404091468","293.15","293.15","429.0044264663141","3.0735021508688307","0.0","293.15","0.0","0.0","0.0","42.90044264663141"
"0.001","293.57256990108243","416.2127940341354","3.0735021508688307","0.4161907753525611","293.15637912572987","12.653921776874313","0.007370226733144136","1.2791632432178628","42.90044264663141","1.8684724404091468","293.1490088989967","293.57256990108243","416.2127940341354","3.0735021508688307","0.4161907753525611","293.15637912572987","12.653921776874313","0.007370226733144136","1.2791632432178628","42.90044264663141"
"0.002","293.98287231061335","404.16547214703553","3.0735021508688307","0.8081645334868881","293.17470777712646","24.307630929904462","0.02843624438247616","2.4838954319278557","42.90044264663141","1.8684724404091468","293.146271532744","293.98287231061335","404.16547214703553","3.0735021508688307","0.8081645334868881","293.17470777712646","24.307630929904462","0.02843624438247616","2.4838954319278557","42.90044264663141"
"0.003","294.381532584635","392.81751022770226","3.0735021508688307","1.177383794196544","293.20414879043847","35.02623004439215","0.06211952443709379","3.6186916238611824","42.90044264663141","1.8684724404091468","293.1420292660014","294.381532584635","392.81751022770226","3.0735021508688307","1.177383794196544","293.20414879043847","35.02623004439215","0.06211952443709379","3.6186916238611824","42.90044264663141"
"0.004","294.7691773501222","382.12399187037437","3.0735021508688307","1.5253099654635776","293.24386738465864","44.87467026993613","0.10734781432279306","4.688043459593968","42.90044264663141","1.8684724404091468","293.13651957033585","294.7691773501222","382.12399187037437","3.0735021508688307","1.5253099654635776","293.24386738465864","44.87467026993613","0.10734781432279306","4.688043459593968","42.90044264663141"
"0.005","295.1464281045134","372.0405020749456","3.0735021508688307","1.8533881414485336","293.29303996306487","53.91706903856971","0.16306664668445592","5.696392439136853","42.90044264663141","1.8684724404091468","293.1299733163804","295.1464281045134","372.0405020749456","3.0735021508688307","1.8533881414485336","293.29303996306487","53.91706903856971","0.16306664668445592","5.696392439136853","42.90044264663141"
"0.006","295.51379365519625","362.5308562458899","3.0735021508688307","2.162795630438495","293.35099802475776","62.205518880819","0.22842463433238436","6.647357022042423","42.90044264663141","1.8684724404091468","293.1225733904254","295.51379365519625","362.5308562458899","3.0735021508688307","2.162795630438495","293.35099802475776","62.205518880819","0.22842463433238436","6.647357022042423","42.90044264663141"
"0.007","295.8718243997877","353.5559522764311","3.0735021508688307","2.4548046653735014","293.4170197344142","69.79627974575124","0.3025034954700345","7.544847418988296","42.90044264663141","1.8684724404091468","293.1145162389442","295.8718243997877","353.5559522764311","3.0735021508688307","2.4548046653735014","293.4170197344142","69.79627974575124","0.3025034954700345","7.544847418988296","42.90044264663141"
"0.008","296.2210508026328","345.07827157144294","3.0735021508688307","2.73063595778342","293.4904148448494","76.74319807054871","0.3844293696271279","8.392615489487111","42.90044264663141","1.8684724404091468","293.10598547522227","296.2210508026328","345.07827157144294","3.0735021508688307","2.73063595778342","293.4904148448494","76.74319807054871","0.3844293696271279","8.392615489487111","42.90044264663141"
"0.009","296.5620122844989","337.05960995864103","3.0735021508688307","2.99153252525565","293.57047975924326","83.10114651506865","0.47331016510298696","9.194481650767305","42.90044264663141","1.8684724404091468","293.09716959414027","296.5620122844989","337.05960995864103","3.0735021508688307","2.99153252525565","293.57047975924326","83.10114651506865","0.47331016510298696","9.194481650767305","42.90044264663141"
