"time","heatCapacitor.T","pipe.T","der(pipe.T)","pump.V_flow","dtCoolant","dtSource","dtToPipe","der(heatCapacitor.T)","convection.Gc","prescribedHeatFlow.Q_flow"
"0.0","60.0","60.0","0.0","0.4262310126226365","0.0","0.0","0.0","-301.81065434473595","5.215101002104667","-30.1810654344736"
"0.001","59.705745998169164","59.99245614132733","-14.920069283765969","0.4262310126226365","-0.007543858672669046","-0.2942540018308364","-0.28671014315816734","-286.85843079575864","5.215101002104667","-30.1810654344736"
"0.002","59.425655834865566","59.970812745836525","-28.30607839811165","0.4262310126226365","-0.029187254163474563","-0.5743441651344341","-0.5451569109709595","-273.3801708176466","5.215101002104667","-30.1810654344736"
"0.003","59.158417431873865","59.9364353233322","-40.30348648896563","0.4262310126226365","-0.06356467666780219","-0.8415825681261353","-0.7780178914583331","-261.2362354907388","5.215101002104667","-30.1810654344736"
"0.004","58.90276916005476","59.890636766125446","-51.05215340447941","0.4262310126226365","-0.1093632338745536","-1.0972308399452402","-0.9878676060706866","-250.29236092107624","5.215101002104667","-30.1810654344736"
"0.005","58.657516797059046","59.83465969146868","-60.68445921123427","0.4262310126226365","-0.1653403085313201","-1.3424832029409544","-1.1771428944096343","-240.42146346217527","5.215101002104667","-30.1810654344736"
"0.006","58.42166066499165","59.769544081966885","-69.31120699279681","0.4262310126226365","-0.23045591803311538","-1.5783393350083514","-1.347883416975236","-231.5171727588578","5.215101002104667","-30.1810654344736"
"0.007","58.194288638255145","59.69623875311352","-77.03349085253187","0.4262310126226365","-0.30376124688648076","-1.805711361744855","-1.5019501148583743","-223.4824388536447","5.215101002104667","-30.1810654344736"
"0.008","57.97456528838372","59.61561261384677","-83.94389726684068","0.4262310126226365","-0.38438738615322876","-2.0254347116162776","-1.6410473254630489","-216.22837882950068","5.215101002104667","-30.1810654344736"
"0.009","57.76173917785115","59.52844708886298","-90.12569722324983","0.4262310126226365","-0.47155291113701736","-2.2382608221488525","-1.766707911011835","-209.67505237329533","5.215101002104667","-30.1810654344736"
"0.01","57.55514246267913","59.43543653120701","-95.65289022037831","0.4262310126226365","-0.5645634687929899","-2.444857537320871","-1.8802940685278813","-203.75141953442383","5.215101002104667","-30.1810654344736"
"0.011","57.35416964005016","59.33721034568448","-100.59256065653202","0.4262310126226365","-0.6627896543155174","-2.6458303599498407","-1.9830407056343233","-198.39307863305692","5.215101002104667","-30.1810654344736"
"0.012","57.158274688750105","59.23433598661579","-105.00519607176585","0.4262310126226365","-0.7656640133842103","-2.8417253112498955","-2.076061297865685","-193.54196079543547","5.215101002104667","-30.1810654344736"
"0.013","56.96695954077424","59.12733095868572","-108.94596537304615","0.4262310126226365","-0.8726690413142819","-3.0330404592257594","-2.1603714179114775","-189.1451028800517","5.215101002104667","-30.1810654344736"
"0.014","56.7798084355224","59.016627016779296","-112.46090762215289","0.4262310126226365","-0.9833729832207041","-3.2201915644776022","-2.236818581256898","-185.1583060983441","5.215101002104667","-30.1810654344736"
"0.015","56.596459454766226","58.902599835825974","-115.59009029030591","0.4262310126226365","-1.0974001641740259","-3.403540545233774","-2.3061403810597483","-181.54310422214866","5.215101002104667","-30.1810654344736"
"0.016","56.41655159203876","58.78562414913093","-118.37348017929664","0.4262310126226365","-1.214375850869068","-3.5834484079612423","-2.3690725570921742","-178.26112767923533","5.215101002104667","-30.1810654344736"
"0.017","56.23978081998074","58.66601533591954","-120.84472421219296","0.4262310126226365","-1.333984664080461","-3.760219180019263","-2.426234515938802","-175.2800737906022","5.215101002104667","-30.1810654344736"
"0.018","56.065865551905155","58.544065400938734","-123.03498037640438","0.4262310126226365","-1.4559345990612655","-3.934134448094845","-2.4781998490335795","-172.57002918362943","5.215101002104667","-30.1810654344736"
"0.019","55.89453959742812","58.42005031507266","-124.97369920314704","0.4262310126226365","-1.5799496849273424","-4.105460402571879","-2.5255107176445364","-170.10271960059498","5.215101002104667","-30.1810654344736"
"0.02","55.72557885095502","58.2942022112592","-126.68566341527338","0.4262310126226365","-1.705797788740803","-4.274421149044983","-2.56862336030418","-167.8543517412181","5.215101002104667","-30.1810654344736"
"0.021","55.55876482066429","58.16674737663278","-128.19503319051853","0.4262310126226365","-1.8332526233672226","-4.441235179335713","-2.6079825559684906","-165.8017299337083","5.215101002104667","-30.1810654344736"
"0.022","55.39391534252395","58.03787425929954","-129.52193955048287","0.4262310126226365","-1.9621257407004578","-4.606084657476053","-2.6439589167755955","-163.9255263807362","5.215101002104667","-30.1810654344736"
"0.023","55.23085746017861","57.90776171711294","-130.6854923091367","0.4262310126226365","-2.0922382828870596","-4.769142539821388","-2.6769042569343284","-162.2073936159713","5.215101002104667","-30.1810654344736"
"0.024","55.069446399764466","57.77655925362752","-131.7016755615886","0.4262310126226365","-2.223440746372482","-4.930553600235534","-2.707112853863052","-160.6319847748197","5.215101002104667","-30.1810654344736"
"0.025","54.90954087225038","57.64441274491168","-132.58608702686553","0.4262310126226365","-2.3555872550883166","-5.090459127749618","-2.7348718726613015","-159.18432390729777","5.215101002104667","-30.1810654344736"
"0.026","54.751028659196685","57.511437786595366","-133.3511001432185","0.4262310126226365","-2.4885622134046343","-5.248971340803315","-2.760409127398681","-157.85253027957864","5.215101002104667","-30.1810654344736"
"0.027","54.593794531120516","57.377753114098255","-134.00942250380643","0.4262310126226365","-2.6222468859017454","-5.4062054688794845","-2.783958582977739","-156.62440238568502","5.215101002104667","-30.1810654344736"
"0.028","54.437743116056446","57.243456779851556","-134.571559316147","0.4262310126226365","-2.756543220148444","-5.562256883943554","-2.8057136637951103","-155.4898529479696","5.215101002104667","-30.1810654344736"
"0.029","54.282784862113665","57.108640776479334","-135.0473704111478","0.4262310126226365","-2.8913592235206664","-5.717215137886335","-2.8258559143656683","-154.439414236618","5.215101002104667","-30.1810654344736"
"0.03","54.12883666220411","56.97339038600235","-135.4460009493315","0.4262310126226365","-3.0266096139976497","-5.871163337795892","-2.844553723798242","-153.46430458952824","5.215101002104667","-30.1810654344736"
"0.031","53.97583784161525","56.83776752389322","-135.77410803561742","0.4262310126226365","-3.16223247610678","-6.024162158384748","-2.8619296822779674","-152.55813080472677","5.215101002104667","-30.1810654344736"
"0.032","53.823722198038766","56.7018398675641","-136.03896209476937","0.4262310126226365","-3.2981601324359033","-6.176277801961234","-2.8781176695253308","-151.71391091956897","5.215101002104667","-30.1810654344736"
"0.033","53.6724285207084","56.56566989742239","-136.2472800572975","0.4262310126226365","-3.4343301025776114","-6.327571479291599","-2.8932413767139877","-150.92519431441792","5.215101002104667","-30.1810654344736"
