"time","heatCapacitor.T","pipe.T","der(pipe.T)","pump.V_flow","dtCoolant","dtSource","dtToPipe","der(heatCapacitor.T)","convection.Gc","prescribedHeatFlow.Q_flow"
"0.0","60.0","60.0","0.0","3.461452516960647","0.0","0.0","0.0","-52.05142891386888","9.470379295092675","-5.205142891386888"
"0.001","59.95023936833645","59.997740796407726","-4.420364149327725","3.461452516960647","-0.0022592035922741616","-0.0497606316635526","-0.04750142807127844","-47.552863504933185","9.470379295092675","-5.205142891386888"
"0.002","59.90455407279193","59.99156043974319","-7.947701590234715","3.461452516960647","-0.008439560256810807","-0.09544592720806833","-0.08700636695125752","-43.81159595270463","9.470379295092675","-5.205142891386888"
"0.003","59.86230502656962","59.982211194016706","-10.739817783001797","3.461452516960647","-0.0177888059832938","-0.13769497343037784","-0.11990616744708404","-40.69586005842108","9.470379295092675","-5.205142891386888"
"0.004","59.82295590539179","59.97032216028424","-12.92885896146771","3.461452516960647","-0.029677839715759546","-0.17704409460821324","-0.1473662548924537","-38.09528562258045","9.470379295092675","-5.205142891386888"
"0.005","59.78601456064353","59.9564686345524","-14.63582977815463","3.461452516960647","-0.04353136544759906","-0.2139854393564704","-0.17045407390887135","-35.908781590761166","9.470379295092675","-5.205142891386888"
"0.006","59.751098642410064","59.94109405091206","-15.954284371056247","3.461452516960647","-0.05890594908793645","-0.24890135758993637","-0.18999540850199992","-34.058143085468735","9.470379295092675","-5.205142891386888"
"0.007","59.717919539070934","59.924530705129875","-16.95452728498111","3.461452516960647","-0.07546929487012477","-0.28208046092906613","-0.20661116605894136","-32.48456782207335","9.470379295092675","-5.205142891386888"
"0.008","59.686200031552104","59.907096852341766","-17.703968436630362","3.461452516960647","-0.09290314765823382","-0.3137999684478956","-0.22089682078966177","-31.13166213428678","9.470379295092675","-5.205142891386888"
"0.009","59.65572860129349","59.88903222726887","-18.25364152685637","3.461452516960647","-0.11096777273112934","-0.34427139870651047","-0.23330362597538112","-29.956690624795932","9.470379295092675","-5.205142891386888"
"0.01","59.626353062717726","59.870506136119225","-18.639853501137225","3.461452516960647","-0.129493863880775","-0.37364693728227394","-0.24415307340149894","-28.929206802120902","9.470379295092675","-5.205142891386888"
"0.011","59.59793674462282","59.85166903615416","-18.89500452067466","3.461452516960647","-0.14833096384583655","-0.402063255377179","-0.25373229153134247","-28.02201851172044","9.470379295092675","-5.205142891386888"
"0.012","59.57035592807097","59.83265606159475","-19.048286568326773","3.461452516960647","-0.16734393840525286","-0.4296440719290331","-0.26230013352378023","-27.210611377632354","9.470379295092675","-5.205142891386888"
"0.013","59.543525560283605","59.81355638094544","-19.119285585851173","3.461452516960647","-0.18644361905455753","-0.4564744397163949","-0.27003082066183737","-26.4784859835414","9.470379295092675","-5.205142891386888"
"0.014","59.51738143825743","59.79443434251824","-19.122403256659197","3.461452516960647","-0.20556565748176325","-0.48261856174256934","-0.2770529042608061","-25.81346803230057","9.470379295092675","-5.205142891386888"
"0.015","59.49186203085443","59.775351246715","-19.071394077775494","3.461452516960647","-0.22464875328500256","-0.5081379691455723","-0.28348921586056974","-25.203924911188906","9.470379295092675","-5.205142891386888"
"0.016","59.46691247801949","59.756360564880175","-18.978368328832573","3.461452516960647","-0.24363943511982455","-0.5330875219805122","-0.2894480868606877","-24.639597225772455","9.470379295092675","-5.205142891386888"
"0.017","59.442495106619845","59.73749542151383","-18.851177403031443","3.461452516960647","-0.2625045784861726","-0.5575048933801554","-0.2950003148939828","-24.11378017169094","9.470379295092675","-5.205142891386888"
"0.018","59.41860900569507","59.71874553568624","-18.688578059240513","3.461452516960647","-0.28125446431376133","-0.5813909943049325","-0.30013652999117113","-23.627361120575394","9.470379295092675","-5.205142891386888"
