"time","heatCapacitor.T","pipe.T","der(pipe.T)","pump.V_flow","dtCoolant","dtSource","dtToPipe","der(heatCapacitor.T)","convection.Gc","prescribedHeatFlow.Q_flow"
"0.0","60.0","60.0","0.0","2.686653008895241","0.0","0.0","0.0","-287.3197047061622","2.4990941871447934","-28.731970470616226"
"0.001","59.71619807243576","59.99652096501409","-6.91206351553177","2.686653008895241","-0.0034790349859079583","-0.28380192756424094","-0.280322892578333","-280.314171592501","2.4990941871447934","-28.731970470616226"
"0.002","59.4391755789466","59.98647558974162","-13.314188780879306","2.686653008895241","-0.013524410258376918","-0.5608244210533968","-0.5473000107950199","-273.6421619501411","2.4990941871447934","-28.731970470616226"
"0.003","59.16865406004964","59.97028826386748","-19.235342536976816","2.686653008895241","-0.029711736132519206","-0.83134593995036","-0.8016342038178408","-267.2861109163861","2.4990941871447934","-28.731970470616226"
"0.004","58.9043387157687","59.94840639424913","-24.70609350145878","2.686653008895241","-0.0515936057508668","-1.0956612842312978","-1.044067678480431","-261.22747004340016","2.4990941871447934","-28.731970470616226"
"0.005","58.64596513385979","59.92122914232512","-29.753749088451684","2.686653008895241","-0.07877085767488268","-1.3540348661402106","-1.275264008465328","-255.44965599985554","2.4990941871447934","-28.731970470616226"
"0.006","58.39326644270785","59.889156998888495","-34.40574711104631","2.686653008895241","-0.11084300111150469","-1.6067335572921522","-1.4958905561806475","-249.93599077060375","2.4990941871447934","-28.731970470616226"
"0.007","58.145994310532785","59.852561413001105","-38.687556023632794","2.686653008895241","-0.147438586998895","-1.8540056894672148","-1.7065671024683198","-244.67098544865115","2.4990941871447934","-28.731970470616226"
"0.008","57.90388266192169","59.8118395692448","-42.626422289704635","2.686653008895241","-0.18816043075519673","-2.096117338078308","-1.9079569073231113","-239.6380645420228","2.4990941871447934","-28.731970470616226"
"0.009","57.66669866895146","59.76733395044803","-46.24592479202761","2.686653008895241","-0.23266604955197323","-2.3333013310485384","-2.100635281496565","-234.82285049316891","2.4990941871447934","-28.731970470616226"
"0.01","57.434200369784726","59.71940206293165","-49.57064975882446","2.686653008895241","-0.28059793706835023","-2.565799630215274","-2.2852016931469237","-230.2103620281931","2.4990941871447934","-28.731970470616226"
"0.011","57.20621340509742","59.668291644881904","-52.61780166987364","2.686653008895241","-0.3317083551180957","-2.7937865949025777","-2.462078239784482","-225.79005053275142","2.4990941871447934","-28.731970470616226"
"0.012","56.98252305585328","59.61431623154133","-55.40900570117799","2.686653008895241","-0.38568376845866936","-3.017476944146722","-2.6317931756880526","-221.54871443486874","2.4990941871447934","-28.731970470616226"
"0.013","56.76298923300107","59.55766910898961","-57.957786137531","2.686653008895241","-0.4423308910103927","-3.237010766998928","-2.7946798759885354","-217.47802237602744","2.4990941871447934","-28.731970470616226"
