"time","heatCapacitor.T","pipe.T","der(pipe.T)","pump.V_flow","dtCoolant","dtSource","dtToPipe","der(heatCapacitor.T)","convection.Gc","prescribedHeatFlow.Q_flow"
"0.0","60.0","60.0","0.0","2.421707904615312","0.0","0.0","0.0","-283.8798616977324","3.301970770288473","-28.387986169773242"
"0.001","59.72068723618535","59.99547663605504","-8.9639230013384","2.421707904615312","-0.004523363944962","-0.27931276381465153","-0.27478939986968953","-274.80639603418416","3.301970770288473","-28.387986169773242"
"0.002","59.45008877017234","59.9824784170232","-17.155028963094594","2.421707904615312","-0.017521582976797845","-0.5499112298276572","-0.5323896468508593","-266.300511174675","3.301970770288473","-28.387986169773242"
"0.003","59.18770102461232","59.961689601210665","-24.62911060887791","2.421707904615312","-0.038310398789334954","-0.8122989753876766","-0.7739885765983416","-258.32298513308336","3.301970770288473","-28.387986169773242"
"0.004","58.9330427048201","59.93376178135552","-31.43935522311068","2.421707904615312","-0.06623821864447876","-1.066957295179897","-1.0007190765354181","-250.83641029783217","3.301970770288473","-28.387986169773242"
"0.005","58.685626949737056","59.899351860175145","-37.63943781638886","2.421707904615312","-0.10064813982485532","-1.3143730502629438","-1.2137249104380885","-243.8030199233568","3.301970770288473","-28.387986169773242"
"0.006","58.4450647971971","59.8589822853989","-43.27210503501789","2.421707904615312","-0.14101771460109802","-1.554935202802902","-1.413917488201804","-237.19271952131186","3.301970770288473","-28.387986169773242"
"0.007","58.21097436758875","59.81316373349939","-48.37919591250596","2.421707904615312","-0.18683626650061314","-1.7890256324112528","-1.6021893659106397","-230.97603715069286","3.301970770288473","-28.387986169773242"
"0.008","57.982975769852835","59.76240276657665","-53.00224832748171","2.421707904615312","-0.23759723342335093","-2.0170242301471646","-1.7794269967238137","-225.12370238729005","3.301970770288473","-28.387986169773242"
"0.009","57.760673424135234","59.70722609034786","-57.18447115391456","2.421707904615312","-0.2927739096521407","-2.239326575864766","-1.9465526662126251","-219.60526163112058","3.301970770288473","-28.387986169773242"
"0.01","57.54373730812221","59.64806699699393","-60.96156188429859","2.421707904615312","-0.3519330030060672","-2.4562626918777895","-2.1043296888717222","-214.39551046068578","3.301970770288473","-28.387986169773242"
"0.011","57.33183239533272","59.58536711120247","-64.36986017317793","2.421707904615312","-0.41463288879752724","-2.668167604667282","-2.2535347158697547","-209.46880408140973","3.301970770288473","-28.387986169773242"
"0.012","57.12470219285227","59.519457154393955","-67.43676477303438","2.421707904615312","-0.48054284560604543","-2.8752978071477315","-2.394754961541686","-204.80575284759297","3.301970770288473","-28.387986169773242"
"0.013","56.92209602632782","59.45066031193386","-70.1890509695778","2.421707904615312","-0.5493396880661408","-3.0779039736721785","-2.5285642856060377","-200.3874080790675","3.301970770288473","-28.387986169773242"
"0.014","56.72378174255392","59.379273720788916","-72.65139155899533","2.421707904615312","-0.6207262792110839","-3.2762182574460823","-2.6554919782349984","-196.1962927690576","3.301970770288473","-28.387986169773242"
"0.015","56.529564901032636","59.30554165566019","-74.84418840866681","2.421707904615312","-0.6944583443398074","-3.4704350989673642","-2.775976754627557","-192.2179206699279","3.301970770288473","-28.387986169773242"
"0.016","56.3392456286797","59.229715869192994","-76.78845078188516","2.421707904615312","-0.7702841308070063","-3.6607543713203015","-2.890470240513295","-188.4373792320965","3.301970770288473","-28.387986169773242"
"0.017","56.15262605025047","59.152044905811934","-78.50493834562002","2.421707904615312","-0.847955094188066","-3.8473739497495316","-2.9994188555614656","-184.8399278085718","3.301970770288473","-28.387986169773242"
