"time","heatCapacitor.T","pipe.T","der(pipe.T)","pump.V_flow","dtCoolant","dtSource","dtToPipe","der(heatCapacitor.T)","convection.Gc","prescribedHeatFlow.Q_flow"
"0.0","60.0","60.0","0.0","2.0089238349342544","0.0","0.0","0.0","-137.00631620540148","2.007990334214073","-13.700631620540149"
"0.001","59.86434749176915","59.99865703369745","-2.6699434497002983","2.0089238349342544","-0.001342966302551929","-0.13565250823084796","-0.13430954192829603","-134.3093935855541","2.007990334214073","-13.700631620540149"
"0.002","59.73131862884417","59.99475360795294","-5.184352897135227","2.0089238349342544","-0.005246392047062898","-0.2686813711558287","-0.2634349791087658","-131.7165672879586","2.007990334214073","-13.700631620540149"
"0.003","59.60082468684185","59.98842197929317","-7.550322550504944","2.0089238349342544","-0.01157802070682834","-0.39917531315815324","-0.3875972924513249","-129.2234000373034","2.007990334214073","-13.700631620540149"
"0.004","59.47277518775953","59.97979660386321","-9.775070187298809","2.0089238349342544","-0.020203396136793117","-0.527224812240469","-0.5070214161036759","-126.82537517764435","2.007990334214073","-13.700631620540149"
"0.005","59.347078748998115","59.969012840534646","-11.865868010966949","2.0089238349342544","-0.030987159465354353","-0.6529212510018851","-0.6219340915365308","-124.51793976216585","2.007990334214073","-13.700631620540149"
"0.006","59.223658441309965","59.9561840411","-13.828813997580625","2.0089238349342544","-0.04381595889999801","-0.7763415586900351","-0.7325255997900371","-122.29727296597389","2.007990334214073","-13.700631620540149"
"0.007","59.102430569731645","59.94143339274413","-15.670537057398377","2.0089238349342544","-0.058566607255869485","-0.897569430268355","-0.8390028230124855","-120.15922061552757","2.007990334214073","-13.700631620540149"
"0.008","58.983312565189955","59.9248818398987","-17.397553403442174","2.0089238349342544","-0.07511816010129735","-1.016687434810045","-0.9415692747087476","-118.09969617932028","2.007990334214073","-13.700631620540149"
"0.009","58.8662210592141","59.90665167536382","-19.016449463362335","2.0089238349342544","-0.0933483246361817","-1.133778940785902","-1.0404306161497203","-116.11456999891118","2.007990334214073","-13.700631620540149"
"0.01","58.751081140296414","59.886851266967824","-20.533082495643384","2.0089238349342544","-0.1131487330321761","-1.2489188597035863","-1.1357701266714102","-114.20016184294863","2.007990334214073","-13.700631620540149"
