"time","heatCapacitor.T","pipe.T","der(pipe.T)","pump.V_flow","dtCoolant","dtSource","dtToPipe","der(heatCapacitor.T)","convection.Gc","prescribedHeatFlow.Q_flow"
"0.0","60.0","60.0","0.0","2.8494371592530623","0.0","0.0","0.0","-13.991183027017017","1.4110684197694046","-1.3991183027017018"
"0.001","59.986106431210956","59.999903490718445","-0.1919359782363017","2.8494371592530623","-9.650928155480187e-05","-0.013893568789043798","-0.013797059507488996","-13.796497077450049","1.4110684197694046","-1.3991183027017018"
"0.002","59.972403819062194","59.999622475140725","-0.3733165265845173","2.8494371592530623","-0.00037752485927455837","-0.027596180937806025","-0.027218656078531467","-13.607109166807213","1.4110684197694046","-1.3991183027017018"
"0.003","59.95888431272915","59.99917244001194","-0.5449122391891592","2.8494371592530623","-0.0008275599880605","-0.04111568727085313","-0.04028812728279263","-13.42268998601303","1.4110684197694046","-1.3991183027017018"
"0.004","59.94554736062529","59.99855447107894","-0.7067771576191717","2.8494371592530623","-0.0014455289210602018","-0.05445263937470912","-0.05300711045364892","-13.24321643117329","1.4110684197694046","-1.3991183027017018"
"0.005","59.932384378317046","59.99778528550577","-0.8597446498129102","2.8494371592530623","-0.002214714494229497","-0.06761562168295399","-0.06540090718872449","-13.068331479434226","1.4110684197694046","-1.3991183027017018"
"0.006","59.91939695951406","59.99686177908653","-1.0036599725705742","2.8494371592530623","-0.003138220913470491","-0.08060304048593991","-0.07746481957246942","-12.898101421598552","1.4110684197694046","-1.3991183027017018"
"0.007","59.906567267911235","59.995817919959435","-1.1402220227850535","2.8494371592530623","-0.004182080040564529","-0.09343273208876468","-0.08925065204820015","-12.73179526152659","1.4110684197694046","-1.3991183027017018"
"0.008","59.89389691236595","59.99465064185907","-1.2692774599679524","2.8494371592530623","-0.005349358140932736","-0.10610308763404674","-0.10075372949311401","-12.569478968399794","1.4110684197694046","-1.3991183027017018"
"0.009","59.8813879110063","59.99335609850515","-1.3906339359664344","2.8494371592530623","-0.006643901494847171","-0.11861208899370013","-0.11196818749885296","-12.41123529303251","1.4110684197694046","-1.3991183027017018"
"0.01","59.86904026383228","59.99193428989766","-1.5042914507779415","2.8494371592530623","-0.00806571010234336","-0.13095973616771772","-0.12289402606537436","-12.257064235425338","1.4110684197694046","-1.3991183027017018"
"0.011","59.85683738531484","59.99041588465057","-1.6117906755758327","2.8494371592530623","-0.009584115349433375","-0.1431626146851599","-0.13357849933572652","-12.106299007288696","1.4110684197694046","-1.3991183027017018"
"0.012","59.8447827501444","59.988794457648446","-1.7128088376995265","2.8494371592530623","-0.011205542351554243","-0.15521724985560326","-0.144011707504049","-11.959079301656695","1.4110684197694046","-1.3991183027017018"
"0.013","59.83288049473599","59.98706236016836","-1.8069616952345768","2.8494371592530623","-0.012937639831640979","-0.16711950526401154","-0.15418186543237056","-11.815571414889476","1.4110684197694046","-1.3991183027017018"
"0.014","59.82112872842737","59.9852230072685","-1.8944214254642588","2.8494371592530623","-0.01477699273149824","-0.17887127157263194","-0.1640942788411337","-11.675700479641433","1.4110684197694046","-1.3991183027017018"
"0.015","59.809498647210525","59.98332842694272","-1.9778111282295185","2.8494371592530623","-0.016671573057280398","-0.19050135278947522","-0.17382977973219482","-11.538325901061299","1.4110684197694046","-1.3991183027017018"
"0.016","59.79800746849023","59.981347519802725","-2.055562862996112","2.8494371592530623","-0.018652480197275167","-0.2019925315097666","-0.18334005131249143","-11.40412946215743","1.4110684197694046","-1.3991183027017018"
"0.017","59.78665519226648","59.979280285848525","-2.1276766297643235","2.8494371592530623","-0.020719714151475443","-0.21334480773352027","-0.19262509358204483","-11.27311116292952","1.4110684197694046","-1.3991183027017018"
"0.018","59.77543359793869","59.97714100764015","-2.1948769361000586","2.8494371592530623","-0.02285899235985056","-0.2245664020613134","-0.20170740970146284","-11.144953468384788","1.4110684197694046","-1.3991183027017018"
"0.019","59.76433073586185","59.9749504466196","-2.2582169420644504","2.8494371592530623","-0.025049553380398493","-0.2356692641381528","-0.21061971075775432","-11.019194802704684","1.4110684197694046","-1.3991183027017018"
"0.02","59.753356382034575","59.97269161786153","-2.3168350579365438","2.8494371592530623","-0.027308382138471643","-0.24664361796542522","-0.21933523582695358","-10.896212780836127","1.4110684197694046","-1.3991183027017018"
"0.021","59.74251053645687","59.97036452136592","-2.3707312837160543","2.8494371592530623","-0.029635478634077117","-0.2574894635431306","-0.2278539849090535","-10.77600740277922","1.4110684197694046","-1.3991183027017018"
"0.022","59.731778557958044","59.96799350623238","-2.4211496110854114","2.8494371592530623","-0.03200649376761788","-0.2682214420419555","-0.23621494827433764","-10.658028489143204","1.4110684197694046","-1.3991183027017018"
"0.023","59.72116077589619","59.965578024719626","-2.4680620560289412","2.8494371592530623","-0.03442197528037383","-0.27883922410381246","-0.24441724882343863","-10.542288416400268","1.4110684197694046","-1.3991183027017018"
"0.024","59.710661993715014","59.9631100884276","-2.5110604924392987","2.8494371592530623","-0.03688991157240196","-0.28933800628498574","-0.2524480947125838","-10.428967686218193","1.4110684197694046","-1.3991183027017018"
"0.025","59.700282076860965","59.96058990496589","-2.55015566417768","2.8494371592530623","-0.03941009503410697","-0.2997179231390348","-0.2603078281049278","-10.318061470440755","1.4110684197694046","-1.3991183027017018"
"0.026","59.69000863539127","59.95803659141609","-2.5863368861405434","2.8494371592530623","-0.04196340858391068","-0.30999136460872734","-0.26802795602481666","-10.209125183397402","1.4110684197694046","-1.3991183027017018"
"0.027","59.679845181449174","59.95544472871127","-2.6193237199359487","2.8494371592530623","-0.04455527128872916","-0.32015481855082584","-0.2755995472620967","-10.102284850574117","1.4110684197694046","-1.3991183027017018"
"0.028","59.669789798246825","59.95281727436224","-2.649269217664312","2.8494371592530623","-0.047182725637760825","-0.33021020175317517","-0.28302747611541434","-9.99747169228201","1.4110684197694046","-1.3991183027017018"
"0.029","59.659840568996394","59.95015718587978","-2.676326431425764","2.8494371592530623","-0.04984281412021829","-0.340159431003606","-0.2903166168833877","-9.894616928832601","1.4110684197694046","-1.3991183027017018"
"0.03","59.649995576910015","59.94746742077471","-2.700648413321005","2.8494371592530623","-0.052532579225292864","-0.3500044230899846","-0.2974718438646917","-9.793651780536601","1.4110684197694046","-1.3991183027017018"
"0.031","59.64025290519987","59.94475093655781","-2.722388215450451","2.8494371592530623","-0.05524906344219005","-0.35974709480012734","-0.3044980313579373","-9.694507467705625","1.4110684197694046","-1.3991183027017018"
"0.032","59.63061063707811","59.94201069073986","-2.74169888991338","2.8494371592530623","-0.05798930926013668","-0.3693893629218934","-0.3114000536617567","-9.597115210650989","1.4110684197694046","-1.3991183027017018"
"0.033","59.62106617017223","59.93924942766571","-2.7587340809319016","2.8494371592530623","-0.060750572334292485","-0.3789338298277727","-0.3181832574934802","-9.50139956353295","1.4110684197694046","-1.3991183027017018"
"0.034","59.611617504887796","59.93647007909939","-2.7736469121217056","2.8494371592530623","-0.06352992090061349","-0.3883824951122037","-0.3248525742115902","-9.407290941509299","1.4110684197694046","-1.3991183027017018"
"0.035","59.602262961403675","59.9336756762308","-2.786590230923025","2.8494371592530623","-0.0663243237692015","-0.3977370385963255","-0.331412714827124","-9.314722868991035","1.4110684197694046","-1.3991183027017018"
"0.036","59.59300055468343","59.93086915535047","-2.797717148380343","2.8494371592530623","-0.06913084464952846","-0.40699944531657195","-0.3378686006670435","-9.223625902687566","1.4110684197694046","-1.3991183027017018"
"0.037","59.583828299690595","59.928053452748955","-2.8071807755387113","2.8494371592530623","-0.07194654725104499","-0.4161717003094054","-0.34422515305836043","-9.133930599307597","1.4110684197694046","-1.3991183027017018"
"0.038","59.574744211388754","59.925231504716784","-2.815134223442044","2.8494371592530623","-0.07476849528321594","-0.4252557886112456","-0.35048729332802964","-9.045567515560633","1.4110684197694046","-1.3991183027017018"
"0.039","59.56574630474145","59.922406247544494","-2.821730603135393","2.8494371592530623","-0.07759375245550615","-0.4342536952585476","-0.3566599428030415","-8.958467208155678","1.4110684197694046","-1.3991183027017018"
"0.04","59.556834754371835","59.91957562361818","-2.8268797858112293","2.8494371592530623","-0.08042437638182065","-0.4431652456281654","-0.36274086924634474","-8.872661175484819","1.4110684197694046","-1.3991183027017018"
"0.041","59.548013356049424","59.91672920193978","-2.8300837973102944","2.8494371592530623","-0.08327079806021942","-0.4519866439505762","-0.3687158458903568","-8.788350166972567","1.4110684197694046","-1.3991183027017018"
"0.042","59.539275801376114","59.91387991595655","-2.8319826836874995","2.8494371592530623","-0.08612008404345062","-0.46072419862388614","-0.3746041145804355","-8.705262667015695","1.4110684197694046","-1.3991183027017018"
"0.043","59.53062052383579","59.91102973419048","-2.832682418546426","2.8494371592530623","-0.08897026580952172","-0.4693794761642067","-0.380409210354685","-8.623348793807894","1.4110684197694046","-1.3991183027017018"
"0.044","59.522045956912365","59.90818062516358","-2.8322889754917924","2.8494371592530623","-0.09181937483641889","-0.4779540430876352","-0.38613466825121634","-8.542558665542746","1.4110684197694046","-1.3991183027017018"
"0.045","59.51355053408973","59.905334557397865","-2.830908328126611","2.8494371592530623","-0.09466544260213539","-0.48644946591026894","-0.39178402330813356","-8.462842400413942","1.4110684197694046","-1.3991183027017018"
"0.046","59.50513268885177","59.90249349941533","-2.8286464500550323","2.8494371592530623","-0.09750650058467158","-0.49486731114822646","-0.3973608105635549","-8.384150116614967","1.4110684197694046","-1.3991183027017018"
"0.047","59.496790854682395","59.89965941973797","-2.8256093148812056","2.8494371592530623","-0.10034058026202786","-0.5032091453176051","-0.4028685650555772","-8.306431932339608","1.4110684197694046","-1.3991183027017018"
"0.048","59.488527476765206","59.896826450127314","-2.821512402762494","2.8494371592530623","-0.10317354987268601","-0.5114725232347936","-0.40829897336210763","-8.229805155661623","1.4110684197694046","-1.3991183027017018"
"0.049","59.48034333473289","59.893991975959224","-2.8162333163425046","2.8494371592530623","-0.1060080240407757","-0.5196566652671066","-0.41364864122633094","-8.154317681867015","1.4110684197694046","-1.3991183027017018"
"0.05","59.47223391455067","59.89116372366369","-2.8101649367198434","2.8494371592530623","-0.10883627633631221","-0.5277660854493291","-0.4189298091130169","-8.079796789622987","1.4110684197694046","-1.3991183027017018"
"0.051","59.46419802294748","59.88834293263736","-2.803376906329902","2.8494371592530623","-0.11165706736264269","-0.5358019770525217","-0.42414490968987906","-8.006208152323673","1.4110684197694046","-1.3991183027017018"
"0.052","59.456234466652255","59.88553084227691","-2.7959388676083563","2.8494371592530623","-0.11446915772309296","-0.5437655333477451","-0.42929637562465217","-7.93351744336291","1.4110684197694046","-1.3991183027017018"
"0.053","59.44834205239394","59.88272869197896","-2.7879204629883247","2.8494371592530623","-0.11727130802103858","-0.5516579476060599","-0.43438663958502133","-7.861690336135238","1.4110684197694046","-1.3991183027017018"
"0.054","59.44051958690145","59.87993772114019","-2.779391334905199","2.8494371592530623","-0.12006227885981247","-0.559480413098548","-0.43941813423873555","-7.790692504034291","1.4110684197694046","-1.3991183027017018"
"0.055","59.43276587690374","59.87715916915723","-2.7704211257935185","2.8494371592530623","-0.12284083084276887","-0.567234123096263","-0.4443932922534941","-7.720489620454407","1.4110684197694046","-1.3991183027017018"
"0.056","59.42508415063481","59.87438568652584","-2.7606511570240855","2.8494371592530623","-0.1256143134741592","-0.5749158493651905","-0.4493015358910313","-7.651230944519779","1.4110684197694046","-1.3991183027017018"
"0.057","59.41747240874414","59.871620078475246","-2.750229157747981","2.8494371592530623","-0.12837992152475408","-0.582527591255861","-0.4541476697311069","-7.582848680322713","1.4110684197694046","-1.3991183027017018"
"0.058","59.409928348501744","59.86886573955796","-2.7393322461608705","2.8494371592530623","-0.1311342604420389","-0.5900716514982562","-0.45893739105621734","-7.515262435309118","1.4110684197694046","-1.3991183027017018"
"0.059","59.40245104046367","59.86612339667891","-2.728004507177104","2.8494371592530623","-0.13387660332109164","-0.5975489595363328","-0.46367235621524117","-7.448448837263049","1.4110684197694046","-1.3991183027017018"
"0.06","59.395039555185924","59.863393776742996","-2.7162900257113165","2.8494371592530623","-0.13660622325700444","-0.6049604448140755","-0.46835422155707107","-7.3823845139683595","1.4110684197694046","-1.3991183027017018"
"0.061","59.38769296322458","59.86067760665515","-2.7042328866789944","2.8494371592530623","-0.1393223933448482","-0.6123070367754195","-0.47298464343057134","-7.317046093209301","1.4110684197694046","-1.3991183027017018"
"0.062","59.38041033513564","59.85797561332027","-2.6918771749936354","2.8494371592530623","-0.14202438667972928","-0.6195896648643568","-0.4775652781846276","-7.252410202769832","1.4110684197694046","-1.3991183027017018"
"0.063","59.37319074147516","59.8552885236433","-2.6792669755718634","2.8494371592530623","-0.14471147635669723","-0.6268092585248368","-0.4820977821681396","-7.188453470433704","1.4110684197694046","-1.3991183027017018"
"0.064","59.36603715582305","59.85260991261413","-2.666086591251826","2.8494371592530623","-0.14739008738587245","-0.6339628441769491","-0.4865727567910767","-7.125308516736744","1.4110684197694046","-1.3991183027017018"
"0.065","59.358946380081996","59.849944664226236","-2.6525892321893707","2.8494371592530623","-0.1500553357737644","-0.6410536199180044","-0.49099828414423996","-7.062861297847999","1.4110684197694046","-1.3991183027017018"
"0.066","59.35191750537624","59.84729346769531","-2.638817087316454","2.8494371592530623","-0.15270653230469122","-0.6480824946237576","-0.49537596231906633","-7.0010892636038875","1.4110684197694046","-1.3991183027017018"
"0.067","59.344949772396305","59.84465673817119","-2.6247985584913636","2.8494371592530623","-0.1553432618288113","-0.6550502276036951","-0.4997069657748838","-6.939975841579725","1.4110684197694046","-1.3991183027017018"
"0.068","59.33804242183272","59.842034890803724","-2.610562047572671","2.8494371592530623","-0.15796510919627593","-0.6619575781672822","-0.5039924689710062","-6.8795044593510335","1.4110684197694046","-1.3991183027017018"
"0.069","59.33119469437602","59.839428340742764","-2.5961359564186637","2.8494371592530623","-0.16057165925723638","-0.6688053056239767","-0.5082336463667403","-6.819658544493432","1.4110684197694046","-1.3991183027017018"
"0.07","59.32440583071674","59.83683750313818","-2.5815486868893345","2.8494371592530623","-0.1631624968618226","-0.6755941692832579","-0.5124316724214353","-6.76042152458194","1.4110684197694046","-1.3991183027017018"
"0.071","59.31767550184049","59.83426208638993","-2.5667924579664714","2.8494371592530623","-0.16573791361007295","-0.6823244981595096","-0.5165865845494366","-6.701792871674543","1.4110684197694046","-1.3991183027017018"
"0.072","59.31100496236791","59.831699197813606","-2.5517263231139964","2.8494371592530623","-0.1683008021863941","-0.6889950376320897","-0.5206942354456956","-6.643831107083058","1.4110684197694046","-1.3991183027017018"
"0.073","59.304392009397034","59.82915162362683","-2.5365000737429","2.8494371592530623","-0.17084837637317207","-0.6956079906029657","-0.5247596142297937","-6.586465830916644","1.4110684197694046","-1.3991183027017018"
"0.074","59.29783599534657","59.826619595468465","-2.5211327166550745","2.8494371592530623","-0.17338040453153525","-0.702164004653433","-0.5287836001218977","-6.529684636777189","1.4110684197694046","-1.3991183027017018"
"0.075","59.29133627263521","59.82410334497738","-2.5056432586526967","2.8494371592530623","-0.1758966550226191","-0.7086637273647867","-0.5327670723421676","-6.473475118266673","1.4110684197694046","-1.3991183027017018"
"0.076","59.28489219368167","59.821603103792455","-2.4900507065385113","2.8494371592530623","-0.17839689620754484","-0.7151078063183292","-0.5367109101107843","-6.417824868986784","1.4110684197694046","-1.3991183027017018"
"0.077","59.27850311090466","59.81911910355259","-2.4743740671152636","2.8494371592530623","-0.18088089644741245","-0.7214968890953415","-0.540615992647929","-6.362721482539205","1.4110684197694046","-1.3991183027017018"
"0.078","59.27216837672285","59.81665157589663","-2.45863234718513","2.8494371592530623","-0.1833484241033716","-0.7278316232771473","-0.5444831991737757","-6.308152552525721","1.4110684197694046","-1.3991183027017018"
"0.079","59.265887841118","59.81420004051652","-2.442807200056052","2.8494371592530623","-0.18579995948348227","-0.7341121588819988","-0.5483121993985165","-6.254122739561505","1.4110684197694046","-1.3991183027017018"
"0.08","59.2596614779746","59.81176383981559","-2.4268709772937314","2.8494371592530623","-0.18823616018440958","-0.7403385220253966","-0.552102361840987","-6.200640954277842","1.4110684197694046","-1.3991183027017018"
"0.081","59.25348820044638","59.809343833962956","-2.410875662594947","2.8494371592530623","-0.19065616603704427","-0.7465117995536232","-0.555855633516579","-6.147679722955415","1.4110684197694046","-1.3991183027017018"
"0.082","59.24736748745849","59.806940073583434","-2.3948307655558665","2.8494371592530623","-0.19305992641656644","-0.7526325125415099","-0.5595725861249434","-6.095230978520988","1.4110684197694046","-1.3991183027017018"
"0.083","59.24129882725843","59.80455259596284","-2.3787450959187595","2.8494371592530623","-0.19544740403716077","-0.7587011727415671","-0.5632537687044064","-6.043286973668134","1.4110684197694046","-1.3991183027017018"
