"time","capacitor.v","capacitor1.v","inductor.i","capacitor.C","capacitor1.C","inductor.L","inductor.IC","capacitor.IC","resistor.R","resistor1.R","resistor2.R","resistor3.R","resistor4.R","resistor5.R"
"0.0","0.7","0.0","0.1","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.001","0.6995620951799686","-0.268786965656216","0.09959805246924185","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.002","0.6961429727556991","-0.5345789890563862","0.09839889185906904","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.003","0.6897774428603689","-0.7956645738343484","0.09641280713770053","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.004","0.6805262073725019","-1.0499730774128728","0.09365722598717863","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.005","0.6684646677761636","-1.2956111848187877","0.09015341446390712","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.006","0.6536927805723509","-1.5306176703114913","0.08592925533971454","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.007","0.6363445079859171","-1.7529641286547277","0.08102177961409872","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.008","0.6165703397666832","-1.9608599682871615","0.07547231233409848","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.009","0.5945307193124464","-2.152706862781415","0.06932473702438974","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.01","0.5704045685759915","-2.3270409721887146","0.06262781209143373","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.011","0.5443935095544633","-2.4824371259189664","0.05543635571096875","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.012","0.5167162721971332","-2.6176198828723662","0.047809685162507776","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.013","0.4876020551845828","-2.731472910063501","0.03980983284803302","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.014","0.45729294661688813","-2.8231087723614925","0.03150215553812139","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
"0.015","0.42604100538741085","-2.891850540816825","0.022954562793996797","4.911198831873378e-05","0.00036974005852843494","0.33455443643367183","0.1","0.7","290.0","290.0","2258.3076662109556","2258.3076662109556","1556.6282262788968","1823.984601471358"
