"time","capacitor.C","capacitor.v","resistor.R","resistor.i"
"0.0","0.00660846096086366","10.0","169.50927444334616","0.05899382221320419"
"0.001","0.00660846096086366","9.991076969420856","169.50927444334616","0.05894118184524529"
"0.002","0.00660846096086366","9.98216189938702","169.50927444334616","0.05888858843958585"
"0.003","0.00660846096086366","9.973254778834448","169.50927444334616","0.058836041930954854"
"0.004","0.00660846096086366","9.964355606973703","169.50927444334616","0.0587835423146951"
"0.005","0.00660846096086366","9.95546435708795","169.50927444334616","0.058731089433193766"
"0.006","0.00660846096086366","9.94658103408734","169.50927444334616","0.05867868331541772"
"0.007","0.00660846096086366","9.93770563984278","169.50927444334616","0.05862632397240416"
"0.008","0.00660846096086366","9.928838174354272","169.50927444334616","0.05857401140415308"
"0.009","0.00660846096086366","9.919978557978219","169.50927444334616","0.05852174514081647"
"0.01","0.00660846096086366","9.91112681524688","169.50927444334616","0.058469525327119506"
"0.011","0.00660846096086366","9.90228296113012","169.50927444334616","0.05841735205137515"
"0.012","0.00660846096086366","9.893446995627937","169.50927444334616","0.05836522531358336"
"0.013","0.00660846096086366","9.88461891874033","169.50927444334616","0.058313145113744164"
"0.014","0.00660846096086366","9.875798730467299","169.50927444334616","0.05826111145185755"
"0.015","0.00660846096086366","9.866986430808844","169.50927444334616","0.05820912432792351"
"0.016","0.00660846096086366","9.858182019764962","169.50927444334616","0.05815718374194204"
"0.017","0.00660846096086366","9.849385281302627","169.50927444334616","0.058105288419451735"
"0.018","0.00660846096086366","9.840596233081827","169.50927444334616","0.05805343846463562"
"0.019","0.00660846096086366","9.831814993980865","169.50927444334616","0.05800163457880224"
"0.02","0.00660846096086366","9.82304156399974","169.50927444334616","0.05794987676195158"
"0.021","0.00660846096086366","9.814275943138453","169.50927444334616","0.05789816501408368"
"0.022","0.00660846096086366","9.805518131397001","169.50927444334616","0.05784649933519848"
"0.023","0.00660846096086366","9.79676812877539","169.50927444334616","0.057794879725296046"
"0.024","0.00660846096086366","9.788025935273613","169.50927444334616","0.057743306184376314"
"0.025","0.00660846096086366","9.779291550891676","169.50927444334616","0.05769177871243934"
"0.026","0.00660846096086366","9.770564975629577","169.50927444334616","0.057640297309485104"
"0.027","0.00660846096086366","9.761846209487315","169.50927444334616","0.05758886197551359"
"0.028","0.00660846096086366","9.753135252464888","169.50927444334616","0.0575374727105248"
"0.029","0.00660846096086366","9.744432104562298","169.50927444334616","0.05748612951451874"
"0.03","0.00660846096086366","9.73573676577955","169.50927444334616","0.05743483238749543"
"0.031","0.00660846096086366","9.727049236116638","169.50927444334616","0.05738358132945486"
"0.032","0.00660846096086366","9.718369515573562","169.50927444334616","0.05733237634039701"
"0.033","0.00660846096086366","9.70969745496102","169.50927444334616","0.05728121654019716"
"0.034","0.00660846096086366","9.70103266484939","169.50927444334616","0.05723009963146113"
"0.035","0.00660846096086366","9.692375606792252","169.50927444334616","0.05717902833706992"
"0.036","0.00660846096086366","9.683726280789607","169.50927444334616","0.05712800265702351"
"0.037","0.00660846096086366","9.675084686841448","169.50927444334616","0.05707702259132187"
"0.038","0.00660846096086366","9.666450824947779","169.50927444334616","0.05702608813996502"
"0.039","0.00660846096086366","9.6578246951086","169.50927444334616","0.05697519930295297"
"0.04","0.00660846096086366","9.64920629732391","169.50927444334616","0.05692435608028571"
"0.041","0.00660846096086366","9.640595631593714","169.50927444334616","0.05687355847196325"
"0.042","0.00660846096086366","9.631992697918003","169.50927444334616","0.056822806477985564"
"0.043","0.00660846096086366","9.623397496296784","169.50927444334616","0.05677210009835268"
"0.044","0.00660846096086366","9.614810026730055","169.50927444334616","0.05672143933306459"
"0.045","0.00660846096086366","9.606230289217818","169.50927444334616","0.0566708241821213"
"0.046","0.00660846096086366","9.597658283760067","169.50927444334616","0.05662025464552278"
"0.047","0.00660846096086366","9.589094010356808","169.50927444334616","0.056569730723269075"
"0.048","0.00660846096086366","9.58053746900804","169.50927444334616","0.056519252415360155"
"0.049","0.00660846096086366","9.57198865971376","169.50927444334616","0.05646881972179602"
"0.05","0.00660846096086366","9.563446191367222","169.50927444334616","0.056418424435906264"
"0.051","0.00660846096086366","9.554911031854056","169.50927444334616","0.056368072267618155"
"0.052","0.00660846096086366","9.546383414234196","169.50927444334616","0.05631776459184134"
"0.053","0.00660846096086366","9.537863338507641","169.50927444334616","0.056267501408575796"
"0.054","0.00660846096086366","9.529350804674388","169.50927444334616","0.05621728271782152"
"0.055","0.00660846096086366","9.520845812734445","169.50927444334616","0.05616710851957854"
"0.056","0.00660846096086366","9.512348362687804","169.50927444334616","0.05611697881384683"
"0.057","0.00660846096086366","9.50385845453447","169.50927444334616","0.0560668936006264"
"0.058","0.00660846096086366","9.495376088274437","169.50927444334616","0.05601685287991724"
"0.059","0.00660846096086366","9.486901263907715","169.50927444334616","0.05596685665171939"
"0.06","0.00660846096086366","9.478433981434293","169.50927444334616","0.05591690491603278"
"0.061","0.00660846096086366","9.469974240854178","169.50927444334616","0.05586699767285747"
"0.062","0.00660846096086366","9.461522042167367","169.50927444334616","0.05581713492219343"
"0.063","0.00660846096086366","9.45307738537386","169.50927444334616","0.05576731666404066"
"0.064","0.00660846096086366","9.44464027047366","169.50927444334616","0.055717542898399176"
"0.065","0.00660846096086366","9.436210697466764","169.50927444334616","0.05566781362526898"
"0.066","0.00660846096086366","9.427788666353173","169.50927444334616","0.055618128844650054"
"0.067","0.00660846096086366","9.419374177132887","169.50927444334616","0.05556848855654241"
"0.068","0.00660846096086366","9.410967229805907","169.50927444334616","0.05551889276094604"
"0.069","0.00660846096086366","9.402567824372232","169.50927444334616","0.055469341457860956"
"0.07","0.00660846096086366","9.394175960831861","169.50927444334616","0.05541983464728715"
"0.071","0.00660846096086366","9.385791639184795","169.50927444334616","0.055370372329224614"
"0.072","0.00660846096086366","9.377414859431035","169.50927444334616","0.055320954503673365"
"0.073","0.00660846096086366","9.369045621570578","169.50927444334616","0.05527158117063338"
"0.074","0.00660846096086366","9.360683925603428","169.50927444334616","0.05522225233010469"
"0.075","0.00660846096086366","9.35232977152958","169.50927444334616","0.05517296798208727"
"0.076","0.00660846096086366","9.34398315934904","169.50927444334616","0.05512372812658113"
"0.077","0.00660846096086366","9.335644089061805","169.50927444334616","0.05507453276358627"
"0.078","0.00660846096086366","9.327312560667874","169.50927444334616","0.05502538189310269"
"0.079","0.00660846096086366","9.318988574167246","169.50927444334616","0.054976275515130374"
"0.08","0.00660846096086366","9.310672129559926","169.50927444334616","0.054927213629669354"
"0.081","0.00660846096086366","9.30236322684591","169.50927444334616","0.05487819623671961"
"0.082","0.00660846096086366","9.294061695579176","169.50927444334616","0.0548292223307549"
"0.083","0.00660846096086366","9.285765703132173","169.50927444334616","0.05478028110040484"
"0.084","0.00660846096086366","9.277477124460608","169.50927444334616","0.0547313836067498"
"0.085","0.00660846096086366","9.269195959564483","169.50927444334616","0.054682529849789774"
"0.086","0.00660846096086366","9.260922208443796","169.50927444334616","0.054633719829524766"
"0.087","0.00660846096086366","9.25265587109855","169.50927444334616","0.05458495354595479"
"0.088","0.00660846096086366","9.244396947528742","169.50927444334616","0.05453623099907981"
"0.089","0.00660846096086366","9.236145437734372","169.50927444334616","0.054487552188899856"
"0.09","0.00660846096086366","9.227901341715441","169.50927444334616","0.05443891711541492"
"0.091","0.00660846096086366","9.21966465947195","169.50927444334616","0.054390325778625"
"0.092","0.00660846096086366","9.211435391003898","169.50927444334616","0.054341778178530094"
"0.093","0.00660846096086366","9.203213536311283","169.50927444334616","0.05429327431513021"
"0.094","0.00660846096086366","9.19499909539411","169.50927444334616","0.05424481418842535"
"0.095","0.00660846096086366","9.186792068252375","169.50927444334616","0.0541963977984155"
"0.096","0.00660846096086366","9.178592454886077","169.50927444334616","0.05414802514510066"
"0.097","0.00660846096086366","9.17040025529522","169.50927444334616","0.054099696228480855"
"0.098","0.00660846096086366","9.1622154694798","169.50927444334616","0.054051411048556056"
"0.099","0.00660846096086366","9.154038097439821","169.50927444334616","0.05400316960532628"
"0.1","0.00660846096086366","9.14586813917528","169.50927444334616","0.05395497189879151"
"0.101","0.00660846096086366","9.137705594686178","169.50927444334616","0.053906817928951765"
"0.102","0.00660846096086366","9.129550463972516","169.50927444334616","0.05385870769580704"
"0.103","0.00660846096086366","9.121402747034292","169.50927444334616","0.053810641199357336"
"0.104","0.00660846096086366","9.113262443871506","169.50927444334616","0.05376261843960263"
"0.105","0.00660846096086366","9.105129554484162","169.50927444334616","0.05371463941654297"
"0.106","0.00660846096086366","9.097004078872255","169.50927444334616","0.053666704130178315"
"0.107","0.00660846096086366","9.088886017035785","169.50927444334616","0.053618812580508664"
"0.108","0.00660846096086366","9.080775368974756","169.50927444334616","0.05357096476753404"
