"time","capacitor.C","capacitor.IC","capacitor.v","inductor.L","inductor.i","resistor.R","resistor.v","resistor.LossPower"
"0.0","0.47148819732072145","10.0","10.0","0.9199976744117679","0.0","0.03865993145239214","-0.0","0.0"
"0.001","0.47148819732072145","10.0","9.999988473306418","0.9199976744117679","0.010869359101377681","0.03865993145239214","-0.0004202086777906958","4.56739901642218e-06"
"0.002","0.47148819732072145","10.0","9.999953894089535","0.9199976744117679","0.02173823017011083","0.03865993145239214","-0.0008403984882728074","1.8268775772687475e-05"
"0.003","0.47148819732072145","10.0","9.999896263907445","0.9199976744117679","0.03260657807650165","0.03865993145239214","-0.001260568073334626","4.110281130393074e-05"
"0.004","0.47148819732072145","10.0","9.999815583655305","0.9199976744117679","0.04347438313874419","0.03865993145239214","-0.0016807166720788828","7.306812054963242e-05"
"0.005","0.47148819732072145","10.0","9.999711854034357","0.9199976744117679","0.05434163134439189","0.03865993145239214","-0.0021008437427853547","0.00011416327618261421"
"0.006","0.47148819732072145","10.0","9.999585077052163","0.9199976744117679","0.06520828150945276","0.03865993145239214","-0.0025209476932837338","0.0001643866668542513"
"0.007","0.47148819732072145","10.0","9.99943525199916","0.9199976744117679","0.0760743489603862","0.03865993145239214","-0.0029410291160938897","0.00022373687528038275"
"0.008","0.47148819732072145","10.0","9.999262387614644","0.9199976744117679","0.0869396755930962","0.03865993145239214","-0.003361081898922309","0.0002922113699341333"
"0.009","0.47148819732072145","10.0","9.999066480332093","0.9199976744117679","0.09780432593008274","0.03865993145239214","-0.003781108536204418","0.00036980877165195496"
"0.01","0.47148819732072145","10.0","9.998847530151513","0.9199976744117679","0.1086682999713459","0.03865993145239214","-0.004201109027940219","0.0004565273760605371"
"0.011","0.47148819732072145","10.0","9.998605537072901","0.9199976744117679","0.11953159771688564","0.03865993145239214","-0.004621083374129711","0.0005523654788926612"
"0.012","0.47148819732072145","10.0","9.998340505628699","0.9199976744117679","0.13039414745247038","0.03865993145239214","-0.005041028802305618","0.0006573206529599889"
